"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Low Energy Precise Navigation System for the Blind with Infrared Sensors","P. Marzec; A. Kos","Faculty of Computer Science, Electronics and Telecommunications, AGH University of Science and Technology, Krakow, Poland; Faculty of Computer Science, Electronics and Telecommunications, AGH University of Science and Technology, Krakow, Poland","2019 MIXDES - 26th International Conference "Mixed Design of Integrated Circuits and Systems"","","2019","","","394","397","This article presents a new idea of precise navigation for blind people with the use of infrared sensors, which help them detect various objects such as buildings or walls, etc. Infrared sensors allow measuring distance between blind people and particular objects or roads. The main objective of such a solution is to enable blind people to move around, especially in an urban infrastructure. The usage of infrared sensors allows creating the energy-saving navigation system for them.","","978-83-63578-16-9","10.23919/MIXDES.2019.8787093","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8787093","blind people;infrared sensor;precise navigation system;GNS;infrared radiation","Integrated circuits","distance measurement;handicapped aids;infrared detectors","low energy precise navigation system;energy-saving navigation system;particular objects;blind people;infrared sensors","","","6","","","","","IEEE","IEEE Conferences"
"An Epistemic Halpern-Shoham Logic for Gradable Justification","K. A. Jobczyk; A. Ligęza","Department of Applied Computer Science, AGH University of Science and Technology, Krakow, 30-059; Department of Applied Computer Science, AGH University of Science and Technology, Krakow, 30-059","2018 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE)","","2018","","","1","8","The Allen's relations between temporal intervals found its logical representation in terms of the so-called Halpern-Shoham logic (HS). This system forms a modal-type logic interpreted in the interval-based Kripke semantics. Unfortunately, not all phenomena of temporal reasoning may be rendered by HS. In 2013, an epistemic extension of HS was proposed by A. Lomuscio. In this paper a new epistemic Halpern-Shoham logic - as a system of multi-valued logic - for gradable justification is proposed. This system is semantically interpreted in the so-called fibred semantics, enriched by some elements of the so-called behavioral semantics of Fagin. The subject basis of the analysis is determined by a unique epistemic version of Traveling Salesman Problem in this paper.","","978-1-5090-6020-7","10.1109/FUZZ-IEEE.2018.8491586","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8491586","epistemic Halpern-Shoham logic;gradable justification;fibred semantics;Traveling Salesman Problem;Gödel’s incompleteness theorems;Hilbert-Bernays provability conditions","Semantics;Urban areas;Traveling salesman problems;Cognition;Task analysis;Labeling;Computer science","temporal logic;temporal reasoning;travelling salesman problems","epistemic Halpern-Shoham logic;gradable justification;temporal intervals;logical representation;HS;modal-type logic;interval-based Kripke semantics;epistemic extension;multivalued logic;unique epistemic version;temporal reasoning;fibred semantics;behavioral semantics;Fagin;traveling salesman problem","","","30","","","","","IEEE","IEEE Conferences"
"Stability Limitations of Optical Frequency Transfer in Telecommunication DWDM Networks","K. Turza; P. Krehlik; Ł. Śliwczyński","Network Technology Division, Poznan Supercomputing and Networking Center, Polish Academy of Science, Poznań, Poland; Faculty of Computer Science, Electronics, and Telecommunications, AGH University of Science and Technology, Kraków, Poland; Faculty of Computer Science, Electronics, and Telecommunications, AGH University of Science and Technology, Kraków, Poland","IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control","","2020","67","5","1066","1073","This article investigates the fundamental limitations of optical frequency transfer stability related to cost-effective implementation of signal transmission in duplex, unidirectional optical paths offered by a standard dense wavelength division multiplexing (DWDM) network. We pointed out the effect of a significant mismatch of phase fluctuations observed in pairs of fibers even when located in a common cable. We also measured the thermal sensitivities of individual DWDM optical modules in the context of the effectiveness of the signal stabilization system. Finally, we present the real implementation of the coherent optical carrier transfer in the operational DWDM network, showing the overall impact of all individual effects. We demonstrated that it is possible to obtain the long-term stability (one day averaging) within the range from  ${2} \times {10}^{-{16}}$  to  ${4} \times {10}^{-{16}}$  and typical frequency offset at the level of few times 10−16 in a 1500-km-long line by using the soil-deployed cables.","1525-8955","","10.1109/TUFFC.2019.2957176","TiFOON 18SIB06 Project through the EMPIR Programme co-financed by the Participating States and through the European Union’s Horizon 2020 Research and Innovation Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8918416","Alien wavelength;dense wavelength division multiplexing (DWDM) network;optical fiber;optical frequency transfer","Optical fiber cables;Optical fiber networks;Optical fibers;Delays;Fluctuations;Optical variables control","","","","","39","CCBY","","","","IEEE","IEEE Journals"
"Investigation and Determination of Efficiency of the Waste Heat Recovery System Using Peltier Modules","A. Skala; Z. Waradzyn","Department of Power Electronics and Energy Control Systems, AGH-University of Science and Technology, Krakow, Poland; Department of Power Electronics and Energy Control Systems, AGH-University of Science and Technology, Krakow, Poland","2018 Conference on Electrotechnology: Processes, Models, Control and Computer Science (EPMCCS)","","2018","","","1","5","High efficiency technology of waste heat energy utilization would change the face of the energy market. Due to the fact that the energy system and transport are based on fossil fuels, there is a huge potential for its efficient use. Despite the fact that the technology of Peltier semiconductor modules has been known for many years, there are no solutions that might be commonly disseminated. There is also a deficit of available sources that in a transparent, coherent and synthetic way could provide guidelines for the constructors of such devices, and show how much energy they can generate and what efficiency they have. Moreover, the Peltier modules available on the market are burdened with many stereotypes. When trying to use this technology, it should be remembered that in addition to the Peltier phenomenon, the module's operation is based on four other physical phenomena: two of them have a negative impact and they determine the practically obtained parameters of the Peltier module. These are: Joule effect and heat conduction phenomenon. The other two phenomena: Seebeck and Thomson ones, play slightly smaller roles. The aim of the authors was to investigate the self-made model of a thermoelectric generator TEG, constructed using Peltier modules. The paper presents the results of measurements and the method of determining the electrical efficiency of this model. Additionally, a temperature range was determined at that such recovery has a measurable utilitarian aspect and economic sense. The limitations of semiconductor technology of Peltier cells have been given, and design guidelines at construction process of such systems to optimize their efficiency are presented.","","978-1-5386-8255-5","10.1109/EPMCCS.2018.8596493","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8596493","Peltier module;Seebeck effect;thermoelectric generator TEG;determination of efficiency","Temperature measurement;Generators;Cooling;Heating systems;Power generation;Temperature distribution;Aluminum","heat conduction;heat recovery;Peltier effect;Seebeck effect;thermoelectric conversion;waste heat","Peltier semiconductor modules;Peltier phenomenon;heat conduction phenomenon;electrical efficiency;semiconductor technology;Peltier cells;waste heat recovery system;high efficiency technology;waste heat energy utilization;energy market;energy system;transport;stereotypes;Joule effect;Seebeck phenomena;Thomson phenomena;thermoelectric generator;TEG;fossil fuels","","","6","","","","","IEEE","IEEE Conferences"
"Cartographic Generalization of the River Network Including Standards of the Objects Recognition","S. Szombara; M. Lupa","Fac. of Min. Surveying & Environ. Eng., AGH Univ. of Sci. & Technol., Krakow, Poland; Fac. of Geol., Geophys. & Environ. Protection, AGH Univ. of Sci. & Technol., Krakow, Poland","2018 Baltic Geodetic Congress (BGC Geomatics)","","2018","","","117","120","Digital cartographic generalization is one of the basic issues currently implemented by the National Map Agencies. The commonly used generalization methods are based on procedures for processing spatial databases where the DLM and/or the DCM are stored. The authors have proposed new solutions for large-and small-scale maps generalization on the example of river network objects. The first stage of process takes into account the hierarchy of watercourses resulting from the Map of Hydrographic Division of Poland (MPHP). The condition of entire watercourse recognition is checked iteratively considering the changing topology. In the second stage, scaledriven generalization (simplification) is carried out, taking into account the width of the symbol. Data used in the article are: General Geographic Database (BDOO) (reference scale 1:250k) and MPHP database (reference scale 1:50k). The obtained results were compared with the BDOO as well as visually in relation to other maps.","","978-1-5386-4898-8","10.1109/BGC-Geomatics.2018.00028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8453677","geographic information systems, spatial databases, rivers, classification algorithms","Rivers;Standards;Object recognition;Spatial databases;Visual databases;Pattern recognition","cartography;geographic information systems;iterative methods;object recognition;rivers;topology;visual databases","objects recognition;digital cartographic generalization;National Map Agencies;spatial databases;DLM;DCM;river network objects;scaledriven generalization;topology;watercourse recognition;maps generalization;MPHP;Map of Hydrographic Division of Poland;iterative;General Geographic database;BDOO","","","","","","","","IEEE","IEEE Conferences"
"Human Sway Response for the Sine Excitation","A. Kot; A. Nawrocka","Department of Process Control, AGH - University of Science and Technology, Krakow, Poland; Department of Process Control, AGH - University of Science and Technology, Krakow, Poland","2019 20th International Carpathian Control Conference (ICCC)","","2019","","","1","4","In the case of a man, keeping the balance in a standing position seems obvious and does not require much effort, however, with the appearance of lesions or aging of the body we begin to see how complex the process of controlling the balance is. Maintaining a stable posture is connected above all with the motor control provided by the human nervous system. Equally important is also the unequivocal determination of spatial orientation and consideration of the impact of forces from different sources on the body. The appearance of unpredictable external stimuli that may destabilize the standing position requires an immediate response from the posture stability control system. Analyzing the cases of the first two strategies for maintaining the balance, it can be noticed that both of them, due to their physical nature, resemble inverted pendulum systems and, given some simplifying assumptions, can be modeled as such. The article presents an approach that uses harmonic signal as a disturbance of balance.","","978-1-7281-0702-8","10.1109/CarpathianCC.2019.8765980","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8765980","modeling;human sway;sine excitation;balance strategies","Muscles;Mathematical model;Nervous system;Gravity;Hip;Analytical models;Foot","biocontrol;biomechanics;mechanical stability;motion control;nonlinear control systems;pendulums;stability","human sway response;sine excitation;standing position;stable posture;motor control;human nervous system;unequivocal determination;spatial orientation;unpredictable external stimuli;immediate response;posture stability control system;pendulum systems;lesion appearance;spatial consideration;different body sources;inverted pendulum systems;harmonic signal;balance disturbance","","","7","","","","","IEEE","IEEE Conferences"
"Signal Processing in the Investigation of Two-phase Liquid-gas Flow by Gamma-ray Absorption","R. Hanus; M. Zych; M. Jaszczur; A. Szlachta; A. Golijanek-Jędrzejczyk","Rzeszów University of Technology, Rzeszów, Poland; AGH University of Science and Technology, Kraków, Poland; AGH University of Science and Technology, Kraków, Poland; Rzeszów University of Technology, Rzeszów, Poland; Gdansk University of Technology, Gdańsk, Poland","2019 6th International Conference on Control, Decision and Information Technologies (CoDIT)","","2019","","","681","684","In this paper, the use of the gamma-absorption method applied in the investigation of the two-phase liquid-gas flow in the pipeline is described. An example of its application to the air transported by water in a horizontal pipeline is evaluated. In the measurements, Am-241 radioactive sources and probes with Nal (Tl) scintillation crystals have been used. The signals from the radiometric set were used to determine the velocity of the dispersed phase, void fraction and for identification of flow regime. In the latter case, artificial neural networks were applied. Results of the selected experiments carried out on a laboratory stand are presented.","2576-3555","978-1-7281-0521-5","10.1109/CoDIT.2019.8820498","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8820498","","Pipelines;Absorption;Probes;Radiometry;Plugs;Flowmeters","flow measurement;gamma-ray absorption;neural nets;pipe flow;pipelines;radioactive sources;sodium compounds;two-phase flow","artificial neural networks;void fraction;Am-241 radioactive sources;air transport;scintillation crystals;flow regime;dispersed phase;horizontal pipeline;gamma-absorption method;gamma-ray absorption;two-phase liquid-gas flow;signal processing;NaI","","","21","","","","","IEEE","IEEE Conferences"
"Evaluation of Thermal Damage of Hepatic Tissue During Thermotherapy based on the Arrhenius Model","P. Gas; E. Kurgan","Department of Electrical and Power Engineering, AGH University of Science and Technology, al. Mickiewicza 30, Krakow, 30-059, Poland; Department of Electrical and Power Engineering, AGH University of Science and Technology, al. Mickiewicza 30, Krakow, 30-059, Poland","2018 Progress in Applied Electrical Engineering (PAEE)","","2018","","","1","4","Both hyperthermia and ablation treatments are common medical procedures employed to thermal destruction of malignant tumors. Such interstitial techniques are based on the insertion of a needle applicators into hepatic cancer and then applying a microwave heating of such tissue to certain therapeutic levels. The aim of presented paper is to estimate the temperature and Arrhenius thermal damage profiles of liver tissue produced by a multi-slot coaxial antenna with a 50 Ω feed. The changes in microwave input power elevations of used antenna is the simplest way to obtain the tumor heating at the requested level and achieve a state where all cancerous cells are irreparably damaged.","","978-1-5386-6091-1","10.1109/PAEE.2018.8441065","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8441065","multi-slot coaxial antenna;interstitial techniques;microwave hyperthermia;thermal ablation;Arrhenius equation;necrotic fraction of tissue;hepatic tumors;finite element method","Microwave antennas;Mathematical model;Electromagnetic heating;Hyperthermia","cancer;cellular biophysics;hyperthermia;liver;microwave heating;radiation therapy;tumours","Arrhenius model;thermotherapy;hepatic tissue;cancerous cells;tumor heating;microwave input power elevations;multislot coaxial antenna;liver tissue;Arrhenius thermal damage profiles;microwave heating;hepatic cancer;needle applicators;malignant tumors;thermal destruction;ablation treatments;hyperthermia","","","21","","","","","IEEE","IEEE Conferences"
"Volume regularization in explicit image registration used for breast cancer bed localization","M. Wodzinski; A. Skalski; I. Ciepiela; T. Kuszewski; P. Kedzierawski","AGH University of Science and Technology, Department of Measurement and Electronics, Krakow, Poland; AGH University of Science and Technology, Department of Measurement and Electronics, Krakow, Poland; Holycross Cancer Center, Department of Radiotherapy, Kielce, Poland; Holycross Cancer Center, Department of Medical Physics, Kielce, Poland; Holycross Cancer Center, Department of Radiotherapy, Kielce, Poland","2018 IEEE 15th International Symposium on Biomedical Imaging (ISBI 2018)","","2018","","","173","176","A breast tumor bed localization is a challenging task for a supportive radiotherapy performed after an oncoplastic surgery. The tumor bed position can be determined by the segmented cancer contour propagation. We introduce a computationally efficient regularization method for the tumor volume contraction and a log-linear error function. The results are validated by an ability to reconstruct artificial but real-like deformation fields and a breast tumors relative volume reduction. We show that both the volume regularization and the log-linear error function improve the applied deformation field reconstruction and increase the relative tumor bed volume contraction.","1945-8452","978-1-5386-3636-7","10.1109/ISBI.2018.8363548","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8363548","breast cancer;image registration;tumor bed;regularization;radiotherapy","Tumors;Strain;Image registration;Surgery;Breast cancer;Splines (mathematics)","cancer;deformation;image reconstruction;image registration;image segmentation;medical image processing;radiation therapy;surgery;tumours","volume regularization;breast cancer bed localization;breast tumor bed localization;oncoplastic surgery;segmented cancer contour propagation;tumor volume contraction;log-linear error function;relative tumor bed volume contraction;image registration;radiotherapy;deformation field reconstruction","","","13","","","","","IEEE","IEEE Conferences"
"Formant Analysis of Traditional Bulgarian Singing from Rhodope Region","B. Kirkov; T. P. Zieliński","AGH University of Science and Technology,Telecommunications Department,Kraków,Poland,30-059; AGH University of Science and Technology,Telecommunications Department,Kraków,Poland,30-059","2019 Signal Processing: Algorithms, Architectures, Arrangements, and Applications (SPA)","","2019","","","148","152","Bulgarian traditional singing is very different from the singing found in Western countries. The technique of singing is similar to speech and the chest register is mainly used. Some authors claim that this characteristic timbre comes from tuning the first resonance of the vocal tract to the second harmonic of the sung note. In this paper traditional Bulgarian song ""Yazhte i pijte, yoldashlar"" from Rhodope region, sung a capella, was investigated in aspect of the vocal tract resonances tuning. The song was segmented and annotated manually and fragments containing sustained vowels were chosen. In total, 108 fragments with vowels /a/, /a/, /i/, and /o/ were analyzed. Then the formant frequencies of each sung vowel were examined. Two commonly used methods were compared in formant estimation task, namely linear prediction coding coefficients (LPC) and cepstrum. Formants were also estimated using PRAAT program. Finally, the LPC method was chosen for the song analysis.","2326-0319","978-83-62065-36-3","10.23919/SPA.2019.8936714","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8936714","Bulgarian singing;singing vowels;formant tuning;singing voice;formants estimation","","acoustic signal processing;cepstral analysis;linear predictive coding;music;musical acoustics","song analysis;formant analysis;Rhodope region;Western countries;chest register;characteristic timbre;vocal tract resonances tuning;sustained vowels;formant frequencies;sung vowel;formant estimation task;traditional Bulgarian song;LPC method;linear prediction coding coefficients;PRAAT program","","","16","","","","","IEEE","IEEE Conferences"
"Magnetic properties of composite cores made of nanocrystalline material for high frequency inductors and transformers","D. Grybos; J. Leszczynski; C. Swieboda; M. Kwiecien; R. Rygal; M. Soinski; W. Pluta","Faculty of Energy and Fuels, AGH University of Science and Technology, Cracow, Poland; Faculty of Energy and Fuels, AGH University of Science and Technology, Cracow, Poland; Magnetic Research Center, Magneto Sp. z o.o., Czestochowa, Poland; Magnetic Research Center, Magneto Sp. z o.o., Czestochowa, Poland; Magnetic Research Center, Magneto Sp. z o.o., Czestochowa, Poland; Magnetic Research Center, Magneto Sp. z o.o., Czestochowa, Poland; Faculty of Electrical Engineering, Czestochowa University of Technology, Czestochowa, Poland","2018 Innovative Materials and Technologies in Electrical Engineering (i-MITEL)","","2018","","","1","6","By choosing parameters of production process of magnetic powder core (MPC), it is possible to develop magnetic properties of cores and match them to specific application. This paper shows how the size of granular material can impact the magnetic characteristics of powder cores. Particular attention is paid to high frequency inductance elements, made of nanocrystalline powder, like inductors, chokes and transformers. Advantages of this components are: stable relative permeability pr, low specific power loss P, and possibility to develop a wide range of other magnetic parameters.","","978-1-5386-4669-4","10.1109/IMITEL.2018.8370465","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8370465","Soft Magnetic Material;Magnetic Powder Core;Inductors;Transformers","Magnetic cores;Saturation magnetization;Powders;Soft magnetic materials;Permeability;Magnetic hysteresis","amorphous magnetic materials;eddy current losses;granular materials;inductors;magnetic anisotropy;magnetic leakage;magnetic particles;magnetic permeability;magnetisation;nanocomposites;nanomagnetics;powder cores;soft magnetic materials","magnetic properties;composite cores;high frequency inductors;magnetic powder core;granular material;high frequency inductance elements;nanocrystalline powder;high frequency transformers;low specific power loss","","1","20","","","","","IEEE","IEEE Conferences"
"CLONETS - clock network services: Strategy and innovation for clock services over optical-fibre networks","P. Krehlik; Ł. Śliwczyński; J. Dostal; J. Radil; V. Smotlacha; R. Velc; J. Vojtěch; M. Campanella; D. Calonico; C. Clivati; F. Levi; O. Číp; S. Rerucha; o. Holzwarth; M. Lessing; F. Camargo; B. Desruelle; J. Lautier-Gaud; E. L. English; J. Kronjäger; P. Whibberley; P. Pottie; R. Tavares; P. Tuckey; F. John; M. Šnajder; J. Štef; P. Nogaś; R. Urbaniak; A. Binczewski; W. Bogacki; K. Turza; G. Grosche; H. Schnatz; E. Camisard; N. Quintin; J. Diaz; E. Ros; A. Galardini; A. Seeds; Zhen Yang; A. Amy-Klein","AGH University of Science and Technology, Cracow, Poland; AGH University of Science and Technology, Cracow, Poland; CESNET, Prague, Czech Republic; CESNET, Prague, Czech Republic; CESNET, Prague, Czech Republic; CESNET, Prague, Czech Republic; CESNET, Prague, Czech Republic; Consortium GARR, Rome, Italy; Istituto Nazionale di Ricerca Metrologica, Turin, Italy; Istituto Nazionale di Ricerca Metrologica, Turin, Italy; Istituto Nazionale di Ricerca Metrologica, Turin, Italy; Institute of Scientific Instruments of the ASCR, v.v.i. (ISI), Brno, Czech Republic; Institute of Scientific Instruments of the ASCR, v.v.i. (ISI), Brno, Czech Republic; Menlo Systems, Martinsried, Germany; Menlo Systems, Martinsried, Germany; Muquans, Talence, France; Muquans, Talence, France; Muquans, Talence, France; National Physical Laboratory, Teddington, United Kingdom; National Physical Laboratory, Teddington, United Kingdom; National Physical Laboratory, Teddington, United Kingdom; LNE-SYRTE, Observatoire de Paris, PSL Research University, CNRS, Sorbonne Universités, UPMC, France; LNE-SYRTE, Observatoire de Paris, PSL Research University, CNRS, Sorbonne Universités, UPMC, France; LNE-SYRTE, Observatoire de Paris, PSL Research University, CNRS, Sorbonne Universités, UPMC, France; OPTOKON, a.s., Jihlava, Czech Republic; OPTOKON, a.s., Jihlava, Czech Republic; OPTOKON, a.s., Jihlava, Czech Republic; Piktime Systems sp. z o.o., Poznan, Poland; Piktime Systems sp. z o.o., Poznan, Poland; Poznan Supercomputing and Networking Center, Poland; Poznan Supercomputing and Networking Center, Poland; Poznan Supercomputing and Networking Center, Poland; Physikalisch-Technische Bundesanstalt, Braunschweig, Germany; Physikalisch-Technische Bundesanstalt, Braunschweig, Germany; Réseau National de Télécommunications pour la Technologie, l'Enseignement et la Recherche, Paris, France; Réseau National de Télécommunications pour la Technologie, l'Enseignement et la Recherche, Paris, France; Seven Solutions S.L., Granada, Spain; Seven Solutions S.L., Granada, Spain; Conzorzio Torino Piemont Internet Exchange, Turin, Italy; University College London, United Kingdom; University College London, United Kingdom; LPL, Université Paris 13, CNRS, Villetaneuse, France","2017 19th International Conference on Transparent Optical Networks (ICTON)","","2017","","","1","2","Methods for long-distance time and frequency transfer over optical fibres have demonstrated excellent performances and are evolving rapidly. CLONETS is a new European Union-funded coordination and support action intended to accelerate the transfer of these technologies to industry and to strengthen the coordination between research infrastructures and research and education network providers, in order to prepare the deployment of this technology for a sustainable, pan-European fibre network, providing high-performance clock services for European research infrastructures and supporting wider services for industry and society.","2161-2064","978-1-5386-0859-3","10.1109/ICTON.2017.8024939","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8024939","optical fibre;network;clock;time;dissemination;metrological;service","Time-frequency analysis;Europe;Optical fibers;Clocks;Industries;Technological innovation","optical fibre networks","CLONETS;clock network services;optical-fibre networks;long-distance time transfer;long-distance frequency transfer;research and education network providers;pan-European fibre network;high-performance clock services;European research infrastructures","","","","","","","","IEEE","IEEE Conferences"
"Prediction of the Persistence of Relationships in Social Networks, Considering Previous Reciprocity and Duration","K. Rudek; J. Kozlak","Faculty of Computer Science, Electronics and Telecommunications, AGH University of Science and Technology, Krakow, Poland; Faculty of Computer Science, Electronics and Telecommunications, AGH University of Science and Technology, Krakow, Poland","2018 5th International Conference on Behavioral, Economic, and Socio-Cultural Computing (BESC)","","2018","","","63","66","The aim of the paper is to identify permanent or developing relationships between users of the social network and the prediction of survival or ending of such a relationship. We consider a social network with already identified links between users and characteristics of these links. The social network is being analyzed in the longer period of time, with particular attention to the dynamics of development of it as well as relations between users. The dataset collected for the sake of described work is based on the Polish socio-political blog portal salon24.pl. We aggregate attributes of given relations such as: number of interactions, reciprocity, continuity and time of day when the interactions take place. The purpose of this analysis is to build a model that allows estimating the situation that prevails in the network from the point of view of a specific user. The research results allow to determine how important are links with other users, which ones are so strong that they can be considered as permanent, and in which ones it is worth investing in order to improve their position in the social network.","","978-1-7281-0207-8","10.1109/BESC.2018.8697326","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8697326","prediction;social network analysis;social relationships","Social networking (online);Classification algorithms;Prediction algorithms;Blogs;Analytical models;Predictive models;Data models","portals;social networking (online)","Polish socio-political blog portal;relationship development;social network relationships","","","14","","","","","IEEE","IEEE Conferences"
"Long Haul Time and Frequency Distribution in Different DWDM Systems","K. Turza; P. Krehlik; Ł. Śliwczyński","Network Technology Division, Poznań Supercomputing and Networking Center, Polish Academy of Science, Poznań, Poland; Faculty of Computer Science, Electronics, and Telecommunications, AGH University of Science and Technology, Krakow, Poland; Faculty of Computer Science, Electronics, and Telecommunications, AGH University of Science and Technology, Krakow, Poland","IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control","","2018","65","7","1287","1293","In this paper, we have presented the possibility of time and frequency (T&F) distribution in two generations of dense wavelength-division-multiplexing (DWDM) networks: the older one, equipped with dispersion compensation fiber (DCF) modules, and the newest, without in-line chromatic dispersion compensation (dedicated for coherent signals). The experiments were performed in a 1500-km loop arranged in the PIONIER production network, with T&F signals regarded as so-called “alien wavelength” network service. In the newest DWDM version, we observed very good stability of delivered signals: modified Allan deviation approach 10-16 for averaging longer than 104 s (for 10-MHz frequency signal), and time deviation below 15 ps for averaging up to 105 s for 1 PPS time signal. These results show that the DWDM alien wavelength service can be used for high-demanding applications like cesium fountains comparisons. Results achieved for the former version of DWDM were about one magnitude worse for a long-term comparison, but it can still be useful for less demanding applications. We found that the main reason for relatively poor results observed in the older generation of DWDM is the impact of the DCFs used in this DWDM approach.","1525-8955","","10.1109/TUFFC.2018.2827178","OFTEN 15SIB05 Project; EMPIR programme co-financed by the Participating States and by the European Union’s Horizon 2020 Research and Innovation Programme; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8340172","Alien wavelength;dense wavelength-division-multiplexing (DWDM) network;optical fiber;time and frequency (T&F) transfer","Optical fiber networks;Wavelength division multiplexing;Optical fibers;Optical fiber cables;Optical fiber devices;Optical fiber dispersion;Fluctuations","optical fibre dispersion;optical fibre networks;wavelength division multiplexing","frequency signal;time deviation;DWDM alien wavelength service;DWDM approach;frequency distribution;different DWDM systems;dense wavelength-division-multiplexing networks;dispersion compensation fiber modules;in-line chromatic dispersion compensation;coherent signals;PIONIER production network;Allan deviation approach;alien wavelength network service;PPS time signal;long haul time distribution;cesium fountains;frequency 10 MHz;distance 1500 km","","5","33","","","","","IEEE","IEEE Journals"
"Broadband mid-infrared emission in heavy metal oxide glasses triply-doped with Er3+/Ho3+/Yb3+ ions","T. Ragin; J. Zmojda; M. Kochanowicz; R. Jadach; P. Miluski; D. Dorosz","Bialystok University of Technology, Faculty of Mechanical Engineering, 45c Wiejska St. 15-351, Poland; Bialystok University of Technology, Faculty of Electrical Engineering, 45d Wiejska St. 15-351, Poland; Bialystok University of Technology, Faculty of Electrical Engineering, 45d Wiejska St. 15-351, Poland; AGH - University of Science and Technology, Faculty of Materials Science and Ceramics, 30 Mickiewicza Av., 30-059 Krakow, Poland; Bialystok University of Technology, Faculty of Electrical Engineering, 45d Wiejska St. 15-351, Poland; AGH - University of Science and Technology, Faculty of Materials Science and Ceramics, 30 Mickiewicza Av., 30-059 Krakow, Poland","2017 19th International Conference on Transparent Optical Networks (ICTON)","","2017","","","1","4","In the paper heavy metal oxide glass co-doped with Er3+/Yb3+, Ho3+/Yb3+ and triply-doped with Er3+/Ho3+/Yb3+ ions have been presented. Glass from Bi2O3 - GeO2 - Ga2O3 - Na2O system has been characterized in terms of thermal and spectroscopic properties. As a result of energy transfer between lanthanides ions and superposition of emission bands (Er3+: 4I11/2 → 4I13/2, Ho3+: 5I6 → 5I7), broadband luminescence spectra in the range of 2.7 -2.85 μm under 980 nm laser diode excitation was achieved.","2161-2064","978-1-5386-0859-3","10.1109/ICTON.2017.8025104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8025104","heavy metal oxide;mid-infrared emission;Er3+/Yb3+/Ho3+;rare earth ions;lanthanides;energy transfer","Glass;Ions;Luminescence;Energy exchange;Metals;Absorption;Broadband communication","bismuth compounds;erbium;gallium compounds;germanate glasses;germanium compounds;holmium;infrared spectra;photoluminescence;sodium compounds;ytterbium","broadband mid-infrared emission;heavy metal oxide glasses;thermal properties;spectroscopic properties;energy transfer;lanthanides ions;emission bands;broadband luminescence spectra;laser diode excitation;wavelength 2.7 mum to 2.85 mum;wavelength 980 nm;Bi2O3-GeO2-Ga2O3-Na2O-Er2O3-Ho2O3-Yb2O3","","","22","","","","","IEEE","IEEE Conferences"
"Real-Time action detection and analysis in fencing footwork","F. Malawski; B. Kwolek","Department of Computer Science, AGH University of Science and Technology, Krakow, Poland; Department of Computer Science, AGH University of Science and Technology, Krakow, Poland","2017 40th International Conference on Telecommunications and Signal Processing (TSP)","","2017","","","520","523","This paper is devoted to real-time analysis of continuous footwork training routine in fencing. We propose a model-based adaptive filtering algorithm for accurate selection of segments of interest from a velocity signal acquired by the Kinect motion sensor. We remove false positives from the selected segments by extracting dedicated features and applying a SVM classifier. Finally, we compute parameters of the identified lunge actions, which constitute a feedback for the fencers. The proposed methods are evaluated on a dedicated dataset consisting of actions of eight fencers.","","978-1-5090-3982-1","10.1109/TSP.2017.8076041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8076041","real-time action recognition;depth maps;filtering;segmentation;signal processing","Feature extraction;Training;Support vector machines;Skeleton;Legged locomotion;Adaptation models","adaptive filters;feature extraction;image motion analysis;image segmentation;lung;medical image processing;object detection;sensors;support vector machines;video signal processing","fencing footwork;real-time analysis;continuous footwork training;adaptive filtering algorithm;velocity signal;Kinect motion sensor;false positives;selected segments;dedicated features;SVM classifier;identified lunge actions;dedicated dataset;velocity signal acquisition","","","11","","","","","IEEE","IEEE Conferences"
